L ( a.k.a Depth),Num_filters,Compression Ratio,Number of Parameters
6,12,0.2,6278
6,12,0.3,11248
6,12,0.4,17662
6,12,0.5,34822
6,12,0.6,45568
6,12,0.7,57758
6,12,0.8,71392
6,12,0.9,86470
6,12,1,120958
6,24,0.2,20962
6,24,0.3,50848
6,24,0.4,77992
6,24,0.5,129538
6,24,0.6,171122
6,24,0.7,218482
6,24,0.8,300352
6,24,0.9,362152
6,24,1,465682
6,36,0.2,56128
6,36,0.3,100990
6,36,0.4,181022
6,36,0.5,284158
6,36,0.6,376672
6,36,0.7,520240
6,36,0.8,643078
6,36,0.9,827078
6,36,1,1034182
6,48,0.2,91192
6,48,0.3,190922
6,48,0.4,326752
6,48,0.5,498682
6,48,0.6,662218
6,48,0.7,899128
6,48,0.8,1172138
6,48,0.9,1481248
6,48,1,1826458
6,60,0.2,155278
6,60,0.3,309238
6,60,0.4,515182
6,60,0.5,773110
6,60,0.6,1083022
6,60,0.7,1444918
6,60,0.8,1858798
6,60,0.9,2324662
6,60,1,2842510
6,72,0.2,210722
6,72,0.3,420232
6,72,0.4,700498
6,72,0.5,1107442
6,72,0.6,1539328
6,72,0.7,2041970
6,72,0.8,2615368
6,72,0.9,3259522
6,72,1,4082338
6,84,0.2,274582
6,84,0.3,588880
6,84,0.4,966448
6,84,0.5,1501678
6,84,0.6,2075630
6,84,0.7,2741998
6,84,0.8,3602128
6,84,0.9,4464880
6,84,1,5545942
6,96,0.2,379552
6,96,0.3,738778
6,96,0.4,1275098
6,96,0.5,1955818
6,96,0.6,2691928
6,96,0.7,3647008
6,96,0.8,4630042
6,96,0.9,5859482
6,96,1,7233322
,,,
12,12,0.2,18374
12,12,0.3,35296
12,12,0.4,57694
12,12,0.5,118918
12,12,0.6,157744
12,12,0.7,202046
12,12,0.8,251824
12,12,0.9,307078
12,12,1,434014
12,24,0.2,63874
12,24,0.3,167848
12,24,0.4,264544
12,24,0.5,450658
12,24,0.6,602114
12,24,0.7,775474
12,24,0.8,1076584
12,24,0.9,1304704
12,24,1,1687954
12,36,0.2,177952
12,36,0.3,335134
12,36,0.4,621374
12,36,0.5,995230
12,36,0.6,1333120
12,36,0.7,1860304
12,36,0.8,2313190
12,36,0.9,2993702
12,36,1,3761830
12,48,0.2,289984
12,48,0.3,640634
12,48,0.4,1128184
12,48,0.5,1752634
12,48,0.6,2350762
12,48,0.7,3221632
12,48,0.8,4229402
12,48,0.9,5374072
12,48,1,6655642
12,60,0.2,500590
12,60,0.3,1044214
12,60,0.4,1784974
12,60,0.5,2722870
12,60,0.6,3857902
12,60,0.7,5190070
12,60,0.8,6719374
12,60,0.9,8445814
12,60,1,10369390
12,72,0.2,679154
12,72,0.3,1418368
12,72,0.4,2425906
12,72,0.5,3905938
12,72,0.6,5488456
12,72,0.2,679154
12,72,0.3,1418368
12,72,0.4,2425906
12,72,0.5,3905938
12,72,0.6,5488456
12,72,0.7,7339298
12,72,0.8,9458464
12,72,0.9,11845954
12,72,1,14903074
12,84,0.2,884854
12,84,0.3,1994896
12,84,0.4,3353968
12,84,0.5,5301838
12,84,0.6,7405646
12,84,0.7,9859918
12,84,0.8,13039888
12,84,0.9,16238896
12,84,1,20256694
12,96,0.2,1231384
12,96,0.3,2501050
12,96,0.4,4432010
12,96,0.5,6910570
12,96,0.6,9609472
12,96,0.7,13128472
12,96,0.8,16763770
12,96,0.9,21323210
12,96,1,26430250
